x,y,z,vx,vy,vz,m,id,Star_Classification
-0.05738651,-0.34929547,-0.67760277,0.32386276,0.41076431,0.34027061,0.000015625,25935,In_Cluster
0.49481723,-0.42119843,0.21666175,-0.33229011,-0.52798039,0.045796059,0.000015625,31829,In_Cluster
-2.2961297,-1.9894806,-1.0548152,0.053267486,0.30576912,0.068164051,0.000015625,45392,In_Cluster
0.45113245,-0.1609333,-0.15720499,0.61464173,0.62000799,-0.063519962,0.000015625,48352,In_Cluster
-0.72927481,0.21911524,-0.42683128,0.14194052,-0.25226134,0.17450885,0.000015625,19850,In_Cluster
1.6368788,-0.59481645,-2.2804587,0.13314676,0.094659112,-0.35746992,0.000015625,20593,In_Cluster
0.1289769,-0.23188466,0.001122522,-0.43028104,0.32111627,0.41009942,0.000015625,30831,In_Cluster
-0.37321764,-0.92673773,-0.30689982,-0.14506415,-0.28469509,-0.8006075,0.000015625,48022,In_Cluster
0.16184409,0.64355642,1.2994611,-0.073649824,-0.46022671,-0.33957151,0.000015625,57839,Isolated
-1.1662817,-0.00540213,0.68938667,-0.86120147,-0.38008675,0.11703585,0.000015625,25032,In_Cluster
-2.0276966,0.15964289,0.065365016,0.29917416,-0.12656666,0.041476149,0.000015625,34107,In_Cluster
0.3209005,-0.10048039,0.031215152,-0.063000083,0.069357306,-0.45338148,0.000015625,11946,In_Cluster
-0.67076826,0.79386002,1.1444613,-0.61560887,0.33322355,-0.27199608,0.000015625,15824,In_Cluster
-0.62669343,-0.75739086,-0.10671625,-0.47786605,-0.1371458,0.009154661,0.000015625,41370,In_Cluster
-0.029299067,-0.082002744,0.12387706,0.28490305,0.45812687,0.8994478,0.000015625,18427,In_Cluster
0.15300003,0.26096752,-0.34829792,0.13913023,0.27902269,0.16377296,0.000015625,45329,In_Cluster
-0.30807528,-1.0447656,-0.2274047,-0.16065909,-0.01134638,-0.32001355,0.000015625,23792,In_Cluster
0.082868919,-0.017536225,-0.28789273,-0.38210905,-0.33860534,-0.44882837,0.000015625,6026,In_Cluster
-0.90598065,-0.11026148,-1.6236058,0.45927256,-0.11089031,0.20651743,0.000015625,16174,In_Cluster
0.6588378,-1.2956568,-0.79954314,-0.18107161,0.46133158,-0.11719403,0.000015625,11176,In_Cluster
-1.4912134,0.13486309,-0.1026364,0.37226173,0.56399351,0.090759635,0.000015625,24742,In_Cluster
-0.20182005,0.23545423,-5.94E-05,0.14130978,0.14482127,0.13847984,0.000015625,50047,In_Cluster
-0.96067506,-1.5666807,0.10721996,-0.065315612,0.29327318,0.41041359,0.000015625,44913,In_Cluster
-0.11228769,-0.23284598,-0.098465003,-0.11197656,-0.29794297,0.32754356,0.000015625,28799,In_Cluster
0.018102383,0.50825703,0.45598435,-0.73150682,-0.54018307,0.12440631,0.000015625,17205,In_Cluster
-0.38576141,0.21249393,0.25963068,0.4347637,-0.62168247,-0.28725919,0.000015625,40734,In_Cluster
-0.15439847,-1.7024624,-1.5060951,-0.20434149,-0.090920135,0.050332732,0.000015625,6671,In_Cluster
